Subject,Age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16F,17,18,19,20,21,22F,23,24,25,26,27,28F,29F,30,31,32,33,34F
26,old,2872,9744,16622,23491,30372,37235,44108,50985,57858,64736,71601,78480,85351,92215,99073,105945,112723,119601,126465,133344,140215,147087,152870,159743,166614,173486,180358,187229,194007,200783,207661,214533,221403,228270
27,old,48081,54948,61823,68696,75568,82440,89313,96190,103060,109938,116804,123675,130549,137426,144298,151169,157944,164817,171689,178561,185440,192311,198081,204950,211826,218703,225575,232446,239221,246001,252870,259742,266615,273485
28,old,69818,76693,83566,90445,97315,104177,111048,117927,124791,131670,138541,145411,152278,159154,166035,172901,179678,186555,193427,200291,207164,214032,219816,226689,233559,240421,247306,254176,260951,267722,274597,281473,288345,295215
29,old,90000,96874,103748,110624,117495,124368,131237,138111,144988,151859,158732,165602,172481,179352,186223,193090,199871,206743,213615,220487,227357,234230,240006,246875,253757,260629,267500,274370,281150,287920,294798,301669,308530,315405
30,young,43378,50245,57122,63994,70864,77736,84609,91481,98358,105230,112101,118971,125850,132716,139515,146459,153238,160110,166987,173851,180727,187592,193376,200249,207125,213997,220869,227741,234514,241291,248165,255040,261898,268769
31,young,70185,77056,83926,90804,97677,104548,111420,118293,125162,132036,138914,145783,152656,159526,166399,173276,180047,186919,193796,200669,207541,214411,220189,227062,233933,240801,247682,254553,261315,268095,274973,281845,288715,295588
32,young,50804,57676,64546,71420,78298,85170,92041,98912,105783,112663,119534,126405,133276,140148,147019,153885,160664,167536,174413,181277,188153,195018,200802,207675,214551,221419,228292,235162,241937,248717,255588,262466,269338,276203
33,old,57290,64163,71034,77905,84777,91656,98527,105399,112270,119141,126020,132892,139763,146635,153507,160378,167155,174027,180892,187770,194635,201507,207290,214155,221020,227892,234763,241635,248412,255189,262060,268932,275811,282682
34,old,71615,78490,85363,92237,99108,105985,112853,119729,126601,133474,140351,147208,154087,160958,167829,174701,181478,188351,195230,202094,208972,215845,221615,228493,235365,242237,249108,255978,262757,269534,276404,283283,290155,297019
35,young,41385,48264,55133,62007,68880,75751,82623,89499,96372,103244,110115,116989,123866,130737,137608,144480,151257,158129,165000,171874,178751,185615,191392,198270,205143,212006,218879,225748,232528,239305,246176,253053,259919,266791
36,old,40560,47434,54308,61182,68056,74927,81798,88674,95548,102419,109292,116162,123034,129905,136777,143655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,old,57865,64740,71613,78492,85362,92235,99103,105979,112853,119724,126597,133458,140325,147201,154090,160960,167725,174597,181474,188338,195214,202079,207863,214736,221612,228484,235353,242228,248998,255778,262652,269520,276392,283256
38,young,42242,49117,55990,62869,69739,76612,83480,90356,97230,104101,110974,117835,124702,131587,138459,145332,152102,158974,165851,172715,179591,186456,192240,199113,205989,212861,219730,226605,233375,240155,247029,253897,260769,267633
39,young,49656,56527,63404,70283,77153,84026,90894,97770,104644,111515,118386,125264,132128,139007,145878,152750,159525,166399,173269,180133,187005,193880,199654,206527,213403,220275,227144,234019,240789,247569,254443,261311,268183,275047
40,old,43919,50794,57667,64546,71416,78289,85157,92033,98907,105778,112651,119519,126394,133271,140138,147013,153786,160651,167528,174392,181268,188133,193917,200790,207666,214538,221407,228282,235052,241832,248706,255574,262446,269310
41,old,51628,58503,65376,72255,79125,85998,92866,99742,106616,113487,120360,127221,134088,140964,147844,154720,161488,168360,175237,182101,188977,195842,201626,208499,215375,222247,229116,235991,242761,249541,256415,263283,270155,277019
